number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: true
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 50
	differential_equation: LiHoChow2005
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	set_principle_diagonal_elements_of_W_negative: true
	alpha: 0.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 112
Free Parameters: 3100
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
78      -105.0f0      11.785714f0   150.0f0       52.0f0        1 second95 milliseconds
79      -115.0f0      13.080358f0   225.0f0       52.0f0        1 second132 milliseconds
80      -255.0f0      -5.491071f0   140.0f0       52.0f0        1 second109 milliseconds
81      -90.0f0       7.767857f0    150.0f0       52.0f0        1 second24 milliseconds
82      -220.0f0      -0.26785713f0 175.0f0       52.0f0        1 second102 milliseconds
83      -125.0f0      13.660714f0   150.0f0       52.0f0        1 second11 milliseconds
84      -115.0f0      11.205358f0   150.0f0       52.0f0        1 second121 milliseconds
85      -100.0f0      11.294642f0   180.0f0       52.0f0        1 second50 milliseconds
86      -160.0f0      5.669643f0    125.0f0       52.0f0        1 second135 milliseconds
87      -140.0f0      14.0625f0     150.0f0       52.0f0        1 second126 milliseconds
88      -105.0f0      5.044643f0    125.0f0       52.0f0        1 second30 milliseconds
89      -140.0f0      16.25f0       175.0f0       52.0f0        1 second105 milliseconds
90      -175.0f0      12.633928f0   215.0f0       56.0f0        1 second20 milliseconds
91      -175.0f0      1.5625f0      150.0f0       56.0f0        1 second124 milliseconds
92      -150.0f0      9.955358f0    175.0f0       56.0f0        1 second32 milliseconds
93      -185.0f0      11.651786f0   175.0f0       56.0f0        1 second127 milliseconds
94      -140.0f0      11.785714f0   225.0f0       56.0f0        1 second115 milliseconds
95      -160.0f0      7.678571f0    155.0f0       60.0f0        1 second25 milliseconds
96      -160.0f0      10.357142f0   175.0f0       60.0f0        1 second114 milliseconds
97      -140.0f0      -3.6160715f0  140.0f0       78.0f0        1 second35 milliseconds
98      -150.0f0      15.982142f0   125.0f0       78.0f0        1 second137 milliseconds
99      -125.0f0      7.946429f0    290.0f0       78.0f0        1 second34 milliseconds
100     -140.0f0      13.169642f0   130.0f0       78.0f0        1 second128 milliseconds
101     -175.0f0      11.294642f0   240.0f0       78.0f0        1 second124 milliseconds
102     -140.0f0      6.651786f0    200.0f0       78.0f0        1 second34 milliseconds
103     -140.0f0      3.794643f0    200.0f0       78.0f0        1 second126 milliseconds
104     -115.0f0      14.732142f0   200.0f0       78.0f0        1 second24 milliseconds
105     -150.0f0      21.517857f0   275.0f0       78.0f0        1 second106 milliseconds
106     -140.0f0      11.339286f0   175.0f0       78.0f0        1 second12 milliseconds
107     -175.0f0      14.151786f0   150.0f0       78.0f0        1 second121 milliseconds
108     -175.0f0      21.607143f0   175.0f0       78.0f0        1 second35 milliseconds
109     -140.0f0      20.0f0        215.0f0       78.0f0        1 second130 milliseconds
110     -110.0f0      11.607142f0   175.0f0       78.0f0        1 second116 milliseconds
111     -150.0f0      12.098214f0   150.0f0       78.0f0        1 second36 milliseconds
112     -150.0f0      8.883928f0    190.0f0       78.0f0        1 second106 milliseconds
113     -160.0f0      7.857143f0    150.0f0       78.0f0        1 second15 milliseconds
114     -80.0f0       23.169643f0   250.0f0       78.0f0        1 second124 milliseconds
115     -115.0f0      12.276786f0   165.0f0       78.0f0        1 second33 milliseconds
116     -125.0f0      22.053572f0   190.0f0       78.0f0        1 second126 milliseconds
117     -135.0f0      22.946428f0   200.0f0       78.0f0        1 second110 milliseconds
118     -195.0f0      19.151785f0   175.0f0       78.0f0        1 second24 milliseconds
119     -125.0f0      5.446429f0    125.0f0       78.0f0        1 second100 milliseconds
120     -160.0f0      25.669643f0   165.0f0       78.0f0        1 second11 milliseconds
121     -140.0f0      9.642858f0    175.0f0       78.0f0        1 second119 milliseconds
122     -175.0f0      12.142858f0   165.0f0       78.0f0        1 second36 milliseconds
123     -105.0f0      30.133928f0   250.0f0       78.0f0        1 second132 milliseconds
124     -175.0f0      23.705357f0   225.0f0       78.0f0        1 second116 milliseconds
125     -115.0f0      19.285715f0   265.0f0       78.0f0        1 second32 milliseconds
126     -115.0f0      15.982142f0   250.0f0       78.0f0        1 second118 milliseconds
127     -115.0f0      17.678572f0   200.0f0       78.0f0        1 second15 milliseconds
128     -105.0f0      23.125f0      175.0f0       78.0f0        1 second135 milliseconds
129     -150.0f0      22.678572f0   175.0f0       78.0f0        1 second44 milliseconds
130     -125.0f0      20.9375f0     205.0f0       78.0f0        1 second127 milliseconds
131     -125.0f0      28.258928f0   250.0f0       78.0f0        1 second131 milliseconds
132     -105.0f0      18.4375f0     175.0f0       78.0f0        1 second19 milliseconds
133     -125.0f0      25.892857f0   200.0f0       78.0f0        1 second99 milliseconds
134     -140.0f0      23.482143f0   215.0f0       78.0f0        1 second12 milliseconds
135     -140.0f0      35.848213f0   175.0f0       78.0f0        1 second126 milliseconds
136     -115.0f0      30.491072f0   190.0f0       78.0f0        1 second33 milliseconds
137     -210.0f0      22.321428f0   190.0f0       78.0f0        1 second137 milliseconds
138     -175.0f0      34.285713f0   225.0f0       78.0f0        1 second119 milliseconds
139     -140.0f0      33.88393f0    190.0f0       78.0f0        1 second45 milliseconds
140     -115.0f0      40.535713f0   300.0f0       78.0f0        1 second120 milliseconds
141     -110.0f0      22.991072f0   190.0f0       78.0f0        1 second32 milliseconds
142     -150.0f0      24.375f0      205.0f0       78.0f0        1 second120 milliseconds
143     -125.0f0      29.821428f0   175.0f0       78.0f0        1 second34 milliseconds
144     -185.0f0      24.375f0      225.0f0       78.0f0        1 second126 milliseconds
145     -175.0f0      20.714285f0   200.0f0       78.0f0        1 second109 milliseconds
146     -140.0f0      29.642857f0   215.0f0       78.0f0        1 second17 milliseconds
147     -115.0f0      22.991072f0   265.0f0       78.0f0        1 second102 milliseconds
148     -135.0f0      26.116072f0   200.0f0       78.0f0        1 second12 milliseconds
149     -195.0f0      26.428572f0   225.0f0       78.0f0        1 second136 milliseconds
150     -125.0f0      36.875f0      190.0f0       78.0f0        1 second66 milliseconds
151     -115.0f0      37.05357f0    250.0f0       78.0f0        1 second132 milliseconds
152     -105.0f0      37.544643f0   240.0f0       78.0f0        1 second108 milliseconds
153     -115.0f0      35.089287f0   230.0f0       105.0f0       1 second21 milliseconds
154     -150.0f0      36.69643f0    325.0f0       105.0f0       1 second106 milliseconds
155     -120.0f0      32.94643f0    200.0f0       105.0f0       1 second15 milliseconds
156     -175.0f0      23.080357f0   200.0f0       105.0f0       1 second123 milliseconds
157     -150.0f0      32.410713f0   265.0f0       105.0f0       1 second41 milliseconds
158     -150.0f0      29.464285f0   275.0f0       105.0f0       1 second142 milliseconds
159     -150.0f0      28.660715f0   190.0f0       105.0f0       1 second113 milliseconds
160     -90.0f0       40.089287f0   240.0f0       105.0f0       1 second21 milliseconds
161     -170.0f0      26.473215f0   225.0f0       105.0f0       1 second104 milliseconds
162     -105.0f0      41.69643f0    225.0f0       105.0f0       1 second13 milliseconds
163     -140.0f0      35.714287f0   225.0f0       110.0f0       1 second119 milliseconds
164     -90.0f0       47.99107f0    215.0f0       110.0f0       1 second54 milliseconds
165     -140.0f0      35.625f0      240.0f0       110.0f0       1 second214 milliseconds
166     -125.0f0      29.151785f0   205.0f0       110.0f0       1 second272 milliseconds
167     -175.0f0      42.1875f0     215.0f0       110.0f0       1 second45 milliseconds
168     -150.0f0      32.94643f0    240.0f0       110.0f0       1 second131 milliseconds
169     -140.0f0      31.071428f0   190.0f0       110.0f0       1 second20 milliseconds
170     -125.0f0      36.07143f0    230.0f0       110.0f0       1 second128 milliseconds
171     -100.0f0      32.36607f0    175.0f0       110.0f0       1 second15 milliseconds
172     -140.0f0      24.508928f0   190.0f0       110.0f0       1 second106 milliseconds
173     -120.0f0      44.6875f0     325.0f0       110.0f0       1 second14 milliseconds
174     -150.0f0      41.651787f0   190.0f0       110.0f0       1 second139 milliseconds
175     -115.0f0      48.080357f0   225.0f0       110.0f0       1 second110 milliseconds
176     -90.0f0       44.330357f0   290.0f0       110.0f0       1 second146 milliseconds
177     -115.0f0      40.44643f0    200.0f0       110.0f0       1 second110 milliseconds
178     -125.0f0      34.6875f0     175.0f0       110.0f0       1 second16 milliseconds
179     -140.0f0      32.723213f0   275.0f0       110.0f0       1 second128 milliseconds
180     -140.0f0      46.964287f0   275.0f0       110.0f0       1 second29 milliseconds
181     -70.0f0       42.410713f0   275.0f0       110.0f0       1 second103 milliseconds
182     -115.0f0      33.4375f0     215.0f0       110.0f0       1 second13 milliseconds
183     -195.0f0      41.74107f0    200.0f0       110.0f0       1 second139 milliseconds
184     -105.0f0      39.151787f0   405.0f0       110.0f0       1 second88 milliseconds
185     -135.0f0      40.357143f0   250.0f0       110.0f0       1 second143 milliseconds
186     -130.0f0      34.776787f0   205.0f0       110.0f0       1 second111 milliseconds
187     -140.0f0      49.107143f0   265.0f0       110.0f0       1 second27 milliseconds
188     -80.0f0       45.75893f0    200.0f0       110.0f0       1 second100 milliseconds
189     -115.0f0      46.026787f0   275.0f0       110.0f0       1 second25 milliseconds
190     -140.0f0      33.214287f0   250.0f0       110.0f0       1 second120 milliseconds
191     -125.0f0      35.357143f0   300.0f0       110.0f0       1 second57 milliseconds
192     -160.0f0      31.071428f0   265.0f0       110.0f0       1 second140 milliseconds
193     -115.0f0      41.294643f0   275.0f0       116.0f0       1 second120 milliseconds
194     -145.0f0      46.785713f0   215.0f0       116.0f0       1 second30 milliseconds
195     -135.0f0      33.392857f0   215.0f0       116.0f0       1 second107 milliseconds
196     -175.0f0      30.089285f0   200.0f0       116.0f0       1 second11 milliseconds
197     -140.0f0      25.491072f0   225.0f0       116.0f0       1 second119 milliseconds
198     -185.0f0      37.05357f0    200.0f0       116.0f0       1 second34 milliseconds
199     -100.0f0      36.919643f0   200.0f0       116.0f0       1 second129 milliseconds
200     -115.0f0      30.625f0      195.0f0       122.0f0       1 second119 milliseconds
201     -125.0f0      29.598215f0   200.0f0       122.0f0       1 second39 milliseconds
202     -145.0f0      40.3125f0     200.0f0       122.0f0       1 second125 milliseconds
203     -115.0f0      33.75f0       155.0f0       122.0f0       1 second25 milliseconds
204     -105.0f0      36.38393f0    180.0f0       122.0f0       1 second132 milliseconds
205     -145.0f0      38.526787f0   225.0f0       122.0f0       1 second45 milliseconds
206     -150.0f0      42.767857f0   190.0f0       122.0f0       1 second130 milliseconds
207     -115.0f0      46.875f0      250.0f0       122.0f0       1 second116 milliseconds
208     -115.0f0      46.294643f0   250.0f0       135.0f0       1 second29 milliseconds
209     -115.0f0      48.169643f0   200.0f0       135.0f0       1 second128 milliseconds
210     -125.0f0      35.9375f0     230.0f0       135.0f0       1 second30 milliseconds
211     -105.0f0      52.1875f0     305.0f0       135.0f0       1 second123 milliseconds
212     -185.0f0      48.75f0       300.0f0       135.0f0       1 second11 milliseconds
213     -170.0f0      37.00893f0    300.0f0       135.0f0       1 second125 milliseconds
214     -105.0f0      46.026787f0   190.0f0       135.0f0       1 second28 milliseconds
215     -175.0f0      41.339287f0   240.0f0       135.0f0       1 second134 milliseconds
216     -195.0f0      41.38393f0    250.0f0       135.0f0       1 second112 milliseconds
217     -140.0f0      49.955357f0   240.0f0       135.0f0       1 second75 milliseconds
218     -115.0f0      44.50893f0    225.0f0       135.0f0       1 second123 milliseconds
219     -150.0f0      39.642857f0   265.0f0       135.0f0       1 second33 milliseconds
220     -115.0f0      50.625f0      315.0f0       135.0f0       1 second119 milliseconds
221     -80.0f0       53.794643f0   225.0f0       165.0f0       1 second33 milliseconds
222     -160.0f0      47.05357f0    265.0f0       165.0f0       1 second145 milliseconds
223     -115.0f0      47.857143f0   350.0f0       165.0f0       1 second114 milliseconds
224     -135.0f0      51.919643f0   215.0f0       165.0f0       1 second27 milliseconds
225     -140.0f0      43.88393f0    200.0f0       165.0f0       1 second150 milliseconds
226     -140.0f0      50.13393f0    200.0f0       165.0f0       1 second22 milliseconds
227     -125.0f0      35.13393f0    215.0f0       165.0f0       1 second126 milliseconds
228     -115.0f0      61.07143f0    275.0f0       165.0f0       1 second33 milliseconds
229     -115.0f0      25.535715f0   165.0f0       165.0f0       1 second135 milliseconds
230     -115.0f0      48.973213f0   275.0f0       165.0f0       1 second113 milliseconds
231     -115.0f0      43.705357f0   215.0f0       165.0f0       1 second35 milliseconds
232     -105.0f0      56.964287f0   240.0f0       165.0f0       1 second128 milliseconds
233     -105.0f0      42.723213f0   275.0f0       165.0f0       1 second38 milliseconds
234     -90.0f0       48.482143f0   215.0f0       165.0f0       1 second120 milliseconds
235     -90.0f0       52.36607f0    280.0f0       165.0f0       1 second35 milliseconds
236     -105.0f0      60.401787f0   230.0f0       165.0f0       1 second129 milliseconds
237     -105.0f0      60.9375f0     355.0f0       165.0f0       1 second109 milliseconds
238     -115.0f0      46.875f0      265.0f0       165.0f0       1 second21 milliseconds
239     -80.0f0       62.589287f0   275.0f0       165.0f0       1 second122 milliseconds
240     -105.0f0      51.160713f0   200.0f0       165.0f0       1 second18 milliseconds
241     -105.0f0      60.089287f0   275.0f0       165.0f0       1 second120 milliseconds
242     -125.0f0      57.63393f0    200.0f0       165.0f0       1 second37 milliseconds
243     -90.0f0       60.49107f0    265.0f0       165.0f0       1 second132 milliseconds
244     -140.0f0      60.089287f0   215.0f0       165.0f0       1 second111 milliseconds
245     -140.0f0      49.910713f0   240.0f0       165.0f0       1 second19 milliseconds
246     -180.0f0      54.19643f0    250.0f0       165.0f0       1 second106 milliseconds
247     -125.0f0      63.080357f0   290.0f0       165.0f0       1 second37 milliseconds
248     -115.0f0      60.75893f0    230.0f0       165.0f0       1 second166 milliseconds
249     -125.0f0      49.776787f0   275.0f0       165.0f0       1 second44 milliseconds
250     -105.0f0      57.99107f0    280.0f0       165.0f0       1 second170 milliseconds
251     -125.0f0      46.74107f0    240.0f0       165.0f0       1 second123 milliseconds
252     -115.0f0      69.28571f0    225.0f0       165.0f0       1 second20 milliseconds
253     -110.0f0      56.205357f0   275.0f0       165.0f0       1 second103 milliseconds
254     -90.0f0       52.232143f0   225.0f0       165.0f0       1 second11 milliseconds
255     -115.0f0      57.410713f0   300.0f0       165.0f0       1 second125 milliseconds
256     -210.0f0      62.1875f0     300.0f0       165.0f0       1 second116 milliseconds
257     -140.0f0      53.839287f0   265.0f0       165.0f0       1 second131 milliseconds
258     -110.0f0      69.19643f0    305.0f0       165.0f0       1 second107 milliseconds
259     -185.0f0      46.026787f0   250.0f0       165.0f0       1 second26 milliseconds
260     -90.0f0       49.017857f0   365.0f0       165.0f0       1 second102 milliseconds
261     -115.0f0      54.330357f0   240.0f0       165.0f0       1 second12 milliseconds
262     -105.0f0      61.160713f0   250.0f0       165.0f0       1 second117 milliseconds
263     -125.0f0      58.660713f0   300.0f0       165.0f0       1 second39 milliseconds
264     -140.0f0      69.19643f0    275.0f0       165.0f0       1 second172 milliseconds
265     -75.0f0       58.92857f0    300.0f0       165.0f0       1 second148 milliseconds
266     -170.0f0      62.410713f0   300.0f0       165.0f0       1 second44 milliseconds
267     -125.0f0      59.285713f0   265.0f0       165.0f0       1 second115 milliseconds
268     -100.0f0      64.55357f0    225.0f0       165.0f0       1 second35 milliseconds
269     -135.0f0      46.473213f0   225.0f0       165.0f0       1 second128 milliseconds
270     -105.0f0      59.017857f0   265.0f0       165.0f0       1 second43 milliseconds
271     -150.0f0      67.58929f0    290.0f0       165.0f0       1 second232 milliseconds
272     -160.0f0      50.80357f0    240.0f0       165.0f0       1 second163 milliseconds
273     -125.0f0      51.38393f0    300.0f0       165.0f0       1 second91 milliseconds
274     -150.0f0      56.919643f0   225.0f0       165.0f0       1 second125 milliseconds
275     -90.0f0       52.455357f0   250.0f0       165.0f0       1 second26 milliseconds
276     -105.0f0      60.892857f0   265.0f0       165.0f0       1 second140 milliseconds
277     -90.0f0       64.28571f0    350.0f0       165.0f0       1 second45 milliseconds
278     -90.0f0       62.5f0        250.0f0       165.0f0       1 second154 milliseconds
279     -115.0f0      63.660713f0   265.0f0       165.0f0       1 second123 milliseconds
280     -150.0f0      56.785713f0   315.0f0       165.0f0       1 second92 milliseconds
281     -90.0f0       61.205357f0   225.0f0       165.0f0       1 second144 milliseconds
282     -115.0f0      60.49107f0    265.0f0       165.0f0       1 second88 milliseconds
283     -115.0f0      57.232143f0   275.0f0       165.0f0       1 second153 milliseconds
284     -80.0f0       58.526787f0   290.0f0       165.0f0       1 second61 milliseconds
285     -150.0f0      51.42857f0    275.0f0       165.0f0       1 second149 milliseconds
286     -100.0f0      60.089287f0   215.0f0       165.0f0       1 second130 milliseconds
287     -140.0f0      67.36607f0    275.0f0       165.0f0       1 second46 milliseconds
288     -125.0f0      65.26786f0    425.0f0       165.0f0       1 second131 milliseconds
289     -90.0f0       59.732143f0   290.0f0       165.0f0       1 second41 milliseconds
290     -70.0f0       58.25893f0    220.0f0       165.0f0       1 second169 milliseconds
291     -125.0f0      67.72321f0    245.0f0       165.0f0       1 second94 milliseconds
292     -90.0f0       74.41964f0    325.0f0       165.0f0       1 second166 milliseconds
293     -140.0f0      56.74107f0    290.0f0       165.0f0       1 second133 milliseconds
294     -105.0f0      63.839287f0   275.0f0       165.0f0       1 second49 milliseconds
295     -140.0f0      64.19643f0    265.0f0       165.0f0       1 second131 milliseconds
296     -55.0f0       62.94643f0    280.0f0       165.0f0       1 second30 milliseconds
297     -140.0f0      68.30357f0    275.0f0       165.0f0       1 second159 milliseconds
298     -150.0f0      59.151787f0   200.0f0       165.0f0       1 second88 milliseconds
299     -80.0f0       79.10714f0    315.0f0       165.0f0       1 second150 milliseconds
300     -125.0f0      61.785713f0   325.0f0       165.0f0       1 second142 milliseconds
301     -105.0f0      71.83036f0    325.0f0       165.0f0       1 second41 milliseconds
302     -125.0f0      66.69643f0    240.0f0       165.0f0       1 second122 milliseconds
303     -140.0f0      61.205357f0   250.0f0       165.0f0       1 second55 milliseconds
304     -90.0f0       57.05357f0    280.0f0       165.0f0       1 second142 milliseconds
305     -55.0f0       76.02679f0    275.0f0       165.0f0       1 second52 milliseconds
306     -80.0f0       63.705357f0   205.0f0       165.0f0       1 second153 milliseconds
307     -115.0f0      58.973213f0   290.0f0       165.0f0       1 second165 milliseconds
308     -135.0f0      59.375f0      240.0f0       165.0f0       1 second50 milliseconds
309     -140.0f0      66.07143f0    240.0f0       165.0f0       1 second124 milliseconds
310     -80.0f0       68.03571f0    275.0f0       165.0f0       1 second45 milliseconds
311     -55.0f0       75.17857f0    225.0f0       165.0f0       1 second154 milliseconds
312     -55.0f0       72.09821f0    240.0f0       165.0f0       1 second53 milliseconds
313     -105.0f0      76.47321f0    275.0f0       165.0f0       1 second151 milliseconds
314     -110.0f0      61.42857f0    265.0f0       165.0f0       1 second133 milliseconds
315     -100.0f0      81.47321f0    255.0f0       165.0f0       1 second47 milliseconds
316     -80.0f0       62.767857f0   250.0f0       165.0f0       1 second134 milliseconds
317     -150.0f0      66.74107f0    240.0f0       165.0f0       1 second49 milliseconds
318     -160.0f0      58.660713f0   290.0f0       165.0f0       1 second147 milliseconds
319     -115.0f0      59.86607f0    240.0f0       165.0f0       1 second59 milliseconds
320     -155.0f0      54.24107f0    225.0f0       165.0f0       1 second161 milliseconds
321     -115.0f0      59.19643f0    265.0f0       165.0f0       1 second138 milliseconds
322     -150.0f0      66.42857f0    290.0f0       165.0f0       1 second62 milliseconds
323     -150.0f0      80.04464f0    275.0f0       165.0f0       1 second161 milliseconds
324     -130.0f0      64.10714f0    275.0f0       165.0f0       1 second85 milliseconds
325     -115.0f0      71.51786f0    275.0f0       165.0f0       1 second145 milliseconds
326     -135.0f0      54.19643f0    280.0f0       165.0f0       1 second44 milliseconds
327     -185.0f0      59.6875f0     325.0f0       165.0f0       1 second155 milliseconds
328     -135.0f0      55.223213f0   225.0f0       171.0f0       1 second126 milliseconds
329     -90.0f0       67.45536f0    265.0f0       171.0f0       1 second37 milliseconds
330     -105.0f0      53.92857f0    325.0f0       171.0f0       1 second125 milliseconds
331     -150.0f0      59.24107f0    290.0f0       171.0f0       1 second59 milliseconds
332     -90.0f0       70.17857f0    240.0f0       171.0f0       1 second142 milliseconds
333     -90.0f0       66.02679f0    240.0f0       171.0f0       1 second60 milliseconds
334     -80.0f0       58.125f0      200.0f0       171.0f0       1 second148 milliseconds
335     -105.0f0      73.79464f0    300.0f0       171.0f0       1 second118 milliseconds
336     -125.0f0      74.86607f0    305.0f0       171.0f0       1 second35 milliseconds
