number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: true
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 50
	differential_equation: LiHoChow2005
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	set_principle_diagonal_elements_of_W_negative: true
	alpha: 0.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 112
Free Parameters: 3100
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
1       -210.0f0      -23.4375f0    165.0f0       23.0f0        9 seconds845 milliseconds
2       -210.0f0      -16.919643f0  110.0f0       23.0f0        1 second35 milliseconds
3       -275.0f0      -20.669643f0  125.0f0       23.0f0        1 second107 milliseconds
4       -175.0f0      -17.276785f0  155.0f0       23.0f0        1 second94 milliseconds
5       -170.0f0      -13.883928f0  150.0f0       25.0f0        1 second2 milliseconds
6       -175.0f0      -15.178572f0  90.0f0        25.0f0        1 second86 milliseconds
7       -175.0f0      -13.616072f0  100.0f0       25.0f0        1 second1 millisecond
8       -185.0f0      -8.258928f0   165.0f0       25.0f0        1 second100 milliseconds
9       -205.0f0      -11.517858f0  100.0f0       28.0f0        1 second14 milliseconds
10      -140.0f0      -4.955357f0   150.0f0       28.0f0        1 second110 milliseconds
11      -140.0f0      -13.973214f0  125.0f0       28.0f0        1 second47 milliseconds
12      -115.0f0      -7.232143f0   125.0f0       28.0f0        1 second146 milliseconds
13      -140.0f0      -18.526785f0  100.0f0       28.0f0        1 second21 milliseconds
14      -185.0f0      -16.026785f0  125.0f0       28.0f0        1 second142 milliseconds
15      -220.0f0      -12.5f0       140.0f0       28.0f0        1 second41 milliseconds
16      -185.0f0      -14.241072f0  125.0f0       28.0f0        1 second97 milliseconds
17      -150.0f0      -3.9732144f0  190.0f0       28.0f0        1 second136 milliseconds
18      -160.0f0      -12.857142f0  200.0f0       28.0f0        1 second30 milliseconds
19      -140.0f0      -13.348214f0  125.0f0       28.0f0        1 second121 milliseconds
20      -160.0f0      -11.428572f0  90.0f0        28.0f0        1 second132 milliseconds
21      -265.0f0      -22.991072f0  125.0f0       28.0f0        1 second23 milliseconds
22      -175.0f0      -18.928572f0  100.0f0       28.0f0        1 second101 milliseconds
23      -175.0f0      -8.125f0      150.0f0       28.0f0        1 second20 milliseconds
24      -150.0f0      -17.901785f0  140.0f0       28.0f0        1 second126 milliseconds
25      -150.0f0      -4.6875f0     125.0f0       28.0f0        1 second29 milliseconds
26      -195.0f0      -11.294642f0  115.0f0       32.0f0        1 second134 milliseconds
27      -185.0f0      -13.214286f0  150.0f0       32.0f0        1 second117 milliseconds
28      -175.0f0      -12.678572f0  100.0f0       32.0f0        1 second35 milliseconds
29      -185.0f0      -17.098215f0  125.0f0       32.0f0        1 second106 milliseconds
30      -275.0f0      -10.267858f0  75.0f0        32.0f0        1 second37 milliseconds
31      -175.0f0      -12.455358f0  115.0f0       42.0f0        1 second123 milliseconds
32      -175.0f0      -5.535714f0   125.0f0       42.0f0        1 second32 milliseconds
33      -175.0f0      -8.348214f0   150.0f0       42.0f0        1 second134 milliseconds
34      -175.0f0      -11.25f0      100.0f0       42.0f0        1 second118 milliseconds
35      -175.0f0      -12.8125f0    125.0f0       42.0f0        1 second29 milliseconds
36      -255.0f0      -14.955358f0  130.0f0       42.0f0        1 second123 milliseconds
37      -210.0f0      -11.026786f0  125.0f0       46.0f0        1 second18 milliseconds
38      -140.0f0      -9.375f0      175.0f0       46.0f0        1 second147 milliseconds
39      -170.0f0      -22.1875f0    125.0f0       46.0f0        1 second43 milliseconds
40      -150.0f0      -10.446428f0  100.0f0       46.0f0        1 second135 milliseconds
41      -125.0f0      -6.875f0      125.0f0       46.0f0        1 second129 milliseconds
42      -150.0f0      -1.3392857f0  175.0f0       46.0f0        1 second24 milliseconds
43      -140.0f0      -6.428571f0   150.0f0       46.0f0        1 second132 milliseconds
44      -175.0f0      -8.169642f0   125.0f0       46.0f0        1 second26 milliseconds
45      -150.0f0      -0.89285713f0 100.0f0       46.0f0        1 second138 milliseconds
46      -140.0f0      -1.7857143f0  140.0f0       46.0f0        1 second74 milliseconds
47      -175.0f0      0.4017857f0   175.0f0       46.0f0        1 second207 milliseconds
48      -220.0f0      -0.71428573f0 115.0f0       46.0f0        1 second149 milliseconds
49      -140.0f0      5.089286f0    125.0f0       46.0f0        1 second187 milliseconds
50      -150.0f0      -2.0089285f0  125.0f0       46.0f0        1 second170 milliseconds
51      -125.0f0      0.17857143f0  150.0f0       46.0f0        1 second82 milliseconds
52      -115.0f0      -5.267857f0   115.0f0       46.0f0        1 second287 milliseconds
53      -230.0f0      -8.705358f0   140.0f0       46.0f0        1 second77 milliseconds
54      -185.0f0      1.0714285f0   125.0f0       46.0f0        1 second198 milliseconds
55      -175.0f0      -5.223214f0   100.0f0       46.0f0        1 second111 milliseconds
56      -115.0f0      6.830357f0    125.0f0       46.0f0        1 second36 milliseconds
57      -125.0f0      -5.848214f0   115.0f0       46.0f0        1 second153 milliseconds
58      -105.0f0      3.3482144f0   215.0f0       52.0f0        1 second24 milliseconds
59      -105.0f0      10.446428f0   150.0f0       52.0f0        1 second123 milliseconds
60      -150.0f0      0.04464286f0  125.0f0       52.0f0        1 second30 milliseconds
61      -185.0f0      3.6160715f0   200.0f0       52.0f0        1 second146 milliseconds
62      -210.0f0      -7.723214f0   105.0f0       52.0f0        1 second115 milliseconds
63      -185.0f0      -4.419643f0   125.0f0       52.0f0        1 second21 milliseconds
64      -140.0f0      -6.517857f0   150.0f0       52.0f0        1 second127 milliseconds
65      -150.0f0      5.535714f0    150.0f0       52.0f0        1 second21 milliseconds
66      -160.0f0      3.392857f0    165.0f0       52.0f0        1 second106 milliseconds
67      -140.0f0      -6.919643f0   100.0f0       52.0f0        1 second13 milliseconds
68      -230.0f0      -1.3392857f0  115.0f0       52.0f0        1 second153 milliseconds
69      -175.0f0      13.035714f0   140.0f0       52.0f0        1 second66 milliseconds
70      -115.0f0      8.705358f0    190.0f0       52.0f0        1 second131 milliseconds
71      -110.0f0      5.892857f0    175.0f0       52.0f0        1 second108 milliseconds
72      -175.0f0      6.473214f0    165.0f0       52.0f0        1 second29 milliseconds
73      -105.0f0      13.928572f0   155.0f0       52.0f0        1 second124 milliseconds
74      -210.0f0      4.955357f0    125.0f0       52.0f0        1 second15 milliseconds
75      -175.0f0      4.642857f0    125.0f0       52.0f0        1 second104 milliseconds
76      -185.0f0      9.330358f0    140.0f0       52.0f0        1 second14 milliseconds
77      -105.0f0      17.053572f0   175.0f0       52.0f0        1 second132 milliseconds
