number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: true
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 50
	differential_equation: original
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	set_principle_diagonal_elements_of_W_negative: true
	alpha: 0.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 112
Free Parameters: 3100
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
1       -220.0f0      -20.982143f0  115.0f0       -8.0f0        16 seconds710 milliseconds
2       -220.0f0      -24.553572f0  100.0f0       -8.0f0        1 second865 milliseconds
3       -185.0f0      -10.223214f0  150.0f0       13.0f0        1 second822 milliseconds
4       -195.0f0      -18.75f0      75.0f0        13.0f0        1 second832 milliseconds
5       -115.0f0      -18.303572f0  90.0f0        13.0f0        1 second825 milliseconds
6       -195.0f0      -26.071428f0  125.0f0       13.0f0        1 second819 milliseconds
7       -135.0f0      -17.410715f0  125.0f0       13.0f0        1 second802 milliseconds
8       -160.0f0      -19.375f0     175.0f0       13.0f0        1 second815 milliseconds
9       -175.0f0      -7.232143f0   105.0f0       13.0f0        1 second806 milliseconds
10      -150.0f0      -11.116072f0  125.0f0       13.0f0        1 second832 milliseconds
11      -110.0f0      -9.6875f0     150.0f0       13.0f0        1 second819 milliseconds
12      -245.0f0      -23.660715f0  115.0f0       18.0f0        1 second834 milliseconds
13      -185.0f0      -12.276786f0  200.0f0       18.0f0        1 second835 milliseconds
14      -140.0f0      -12.544642f0  190.0f0       28.0f0        1 second817 milliseconds
15      -150.0f0      -6.875f0      150.0f0       28.0f0        1 second816 milliseconds
16      -140.0f0      -10.491072f0  115.0f0       28.0f0        1 second820 milliseconds
17      -150.0f0      -5.669643f0   115.0f0       28.0f0        1 second828 milliseconds
18      -230.0f0      -26.607143f0  75.0f0        28.0f0        1 second822 milliseconds
19      -210.0f0      -23.348215f0  125.0f0       28.0f0        1 second851 milliseconds
20      -210.0f0      -9.821428f0   140.0f0       28.0f0        1 second831 milliseconds
21      -140.0f0      -14.151786f0  100.0f0       28.0f0        1 second832 milliseconds
22      -185.0f0      1.3839285f0   125.0f0       28.0f0        1 second825 milliseconds
23      -250.0f0      -17.723215f0  125.0f0       28.0f0        1 second829 milliseconds
24      -175.0f0      -6.071429f0   140.0f0       28.0f0        1 second844 milliseconds
25      -210.0f0      -8.705358f0   125.0f0       45.0f0        1 second861 milliseconds
26      -170.0f0      -14.330358f0  165.0f0       45.0f0        1 second844 milliseconds
27      -195.0f0      -6.116071f0   140.0f0       45.0f0        1 second829 milliseconds
28      -125.0f0      -4.419643f0   125.0f0       45.0f0        1 second833 milliseconds
29      -115.0f0      -16.25f0      125.0f0       45.0f0        1 second850 milliseconds
30      -140.0f0      -6.071429f0   125.0f0       45.0f0        1 second837 milliseconds
31      -175.0f0      -10.491072f0  105.0f0       45.0f0        1 second844 milliseconds
32      -150.0f0      -6.517857f0   200.0f0       45.0f0        1 second844 milliseconds
33      -185.0f0      -16.830357f0  100.0f0       45.0f0        1 second835 milliseconds
34      -150.0f0      -18.169643f0  150.0f0       45.0f0        1 second845 milliseconds
35      -290.0f0      -19.419643f0  115.0f0       45.0f0        1 second844 milliseconds
36      -185.0f0      -4.464286f0   150.0f0       45.0f0        1 second850 milliseconds
37      -150.0f0      -0.71428573f0 175.0f0       45.0f0        1 second846 milliseconds
38      -180.0f0      -10.982142f0  100.0f0       45.0f0        1 second847 milliseconds
39      -195.0f0      -12.946428f0  125.0f0       45.0f0        1 second848 milliseconds
40      -125.0f0      -13.705358f0  125.0f0       45.0f0        1 second866 milliseconds
41      -160.0f0      -10.491072f0  100.0f0       45.0f0        1 second854 milliseconds
42      -215.0f0      -2.142857f0   200.0f0       45.0f0        1 second862 milliseconds
43      -140.0f0      -20.089285f0  90.0f0        45.0f0        1 second860 milliseconds
44      -175.0f0      -4.375f0      125.0f0       45.0f0        1 second858 milliseconds
45      -140.0f0      -16.785715f0  125.0f0       45.0f0        1 second864 milliseconds
46      -160.0f0      -13.616072f0  100.0f0       45.0f0        1 second863 milliseconds
47      -220.0f0      -8.794642f0   90.0f0        45.0f0        1 second869 milliseconds
48      -245.0f0      -19.776785f0  150.0f0       45.0f0        1 second883 milliseconds
49      -175.0f0      -11.651786f0  150.0f0       45.0f0        1 second875 milliseconds
50      -245.0f0      -16.964285f0  125.0f0       45.0f0        1 second871 milliseconds
51      -125.0f0      -3.482143f0   150.0f0       45.0f0        1 second867 milliseconds
52      -115.0f0      -10.089286f0  115.0f0       45.0f0        1 second885 milliseconds
53      -195.0f0      -11.607142f0  175.0f0       71.0f0        1 second877 milliseconds
54      -140.0f0      -10.044642f0  125.0f0       71.0f0        1 second874 milliseconds
55      -175.0f0      -11.517858f0  225.0f0       71.0f0        1 second883 milliseconds
56      -150.0f0      -11.116072f0  125.0f0       71.0f0        1 second886 milliseconds
57      -140.0f0      -8.125f0      105.0f0       71.0f0        1 second870 milliseconds
58      -150.0f0      -21.517857f0  125.0f0       71.0f0        1 second886 milliseconds
59      -185.0f0      -15.401786f0  100.0f0       71.0f0        1 second875 milliseconds
60      -210.0f0      -9.642858f0   90.0f0        71.0f0        1 second882 milliseconds
61      -220.0f0      -12.767858f0  200.0f0       71.0f0        1 second886 milliseconds
62      -125.0f0      -9.0625f0     130.0f0       71.0f0        1 second884 milliseconds
63      -205.0f0      -14.776786f0  115.0f0       71.0f0        1 second870 milliseconds
64      -240.0f0      -6.071429f0   125.0f0       71.0f0        1 second875 milliseconds
65      -140.0f0      5.133929f0    125.0f0       71.0f0        1 second889 milliseconds
