number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: true
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 50
	differential_equation: original
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	set_principle_diagonal_elements_of_W_negative: true
	alpha: 0.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 112
Free Parameters: 3100
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
1       -185.0f0      -21.473215f0  100.0f0       -25.0f0       17 seconds13 milliseconds
2       -175.0f0      -11.428572f0  165.0f0       -25.0f0       1 second917 milliseconds
3       -210.0f0      -15.803572f0  100.0f0       7.0f0         1 second847 milliseconds
4       -210.0f0      -13.660714f0  90.0f0        7.0f0         1 second824 milliseconds
5       -210.0f0      -10.535714f0  150.0f0       7.0f0         1 second828 milliseconds
6       -280.0f0      -22.366072f0  150.0f0       7.0f0         1 second830 milliseconds
7       -175.0f0      -15.669642f0  130.0f0       7.0f0         1 second835 milliseconds
8       -195.0f0      -13.839286f0  125.0f0       7.0f0         1 second848 milliseconds
9       -150.0f0      -12.1875f0    120.0f0       22.0f0        1 second827 milliseconds
10      -220.0f0      -12.410714f0  105.0f0       22.0f0        1 second845 milliseconds
11      -210.0f0      -13.125f0     105.0f0       22.0f0        1 second850 milliseconds
12      -220.0f0      -15.223214f0  150.0f0       22.0f0        1 second846 milliseconds
13      -185.0f0      -14.776786f0  150.0f0       22.0f0        1 second843 milliseconds
14      -160.0f0      -14.0625f0    125.0f0       22.0f0        1 second847 milliseconds
15      -170.0f0      -10.401786f0  175.0f0       22.0f0        1 second839 milliseconds
16      -150.0f0      -10.892858f0  150.0f0       22.0f0        1 second837 milliseconds
17      -175.0f0      -4.6875f0     125.0f0       22.0f0        1 second859 milliseconds
18      -230.0f0      -14.196428f0  125.0f0       22.0f0        1 second845 milliseconds
19      -210.0f0      -24.375f0     150.0f0       50.0f0        1 second848 milliseconds
20      -245.0f0      -10.446428f0  125.0f0       50.0f0        1 second847 milliseconds
21      -140.0f0      -12.455358f0  115.0f0       50.0f0        1 second836 milliseconds
22      -175.0f0      -11.5625f0    125.0f0       50.0f0        1 second859 milliseconds
23      -210.0f0      -15.625f0     165.0f0       50.0f0        1 second845 milliseconds
24      -210.0f0      -12.678572f0  90.0f0        50.0f0        1 second843 milliseconds
25      -150.0f0      -10.982142f0  90.0f0        50.0f0        1 second856 milliseconds
26      -175.0f0      -21.339285f0  100.0f0       50.0f0        1 second854 milliseconds
27      -125.0f0      -24.241072f0  125.0f0       50.0f0        1 second852 milliseconds
28      -280.0f0      -16.205357f0  130.0f0       50.0f0        1 second851 milliseconds
29      -175.0f0      -8.482142f0   125.0f0       50.0f0        1 second848 milliseconds
30      -185.0f0      -15.625f0     115.0f0       50.0f0        1 second877 milliseconds
31      -230.0f0      -21.428572f0  100.0f0       50.0f0        1 second855 milliseconds
32      -150.0f0      -18.482143f0  100.0f0       50.0f0        1 second866 milliseconds
33      -150.0f0      -13.214286f0  100.0f0       50.0f0        1 second849 milliseconds
34      -210.0f0      -8.035714f0   150.0f0       50.0f0        1 second869 milliseconds
35      -185.0f0      -16.964285f0  100.0f0       50.0f0        1 second867 milliseconds
36      -255.0f0      -12.008928f0  125.0f0       50.0f0        1 second860 milliseconds
37      -150.0f0      -11.607142f0  130.0f0       50.0f0        1 second867 milliseconds
38      -220.0f0      -11.205358f0  115.0f0       50.0f0        1 second865 milliseconds
39      -195.0f0      -4.375f0      200.0f0       50.0f0        1 second875 milliseconds
40      -175.0f0      -9.642858f0   100.0f0       50.0f0        1 second870 milliseconds
41      -195.0f0      -10.714286f0  100.0f0       50.0f0        1 second877 milliseconds
42      -140.0f0      -5.9375f0     125.0f0       50.0f0        1 second884 milliseconds
43      -185.0f0      -9.910714f0   100.0f0       50.0f0        1 second897 milliseconds
44      -175.0f0      -12.053572f0  150.0f0       50.0f0        1 second881 milliseconds
45      -160.0f0      -19.107143f0  125.0f0       50.0f0        1 second871 milliseconds
46      -155.0f0      -10.892858f0  115.0f0       50.0f0        1 second891 milliseconds
47      -240.0f0      -19.910715f0  90.0f0        50.0f0        1 second877 milliseconds
48      -160.0f0      -6.071429f0   125.0f0       50.0f0        1 second896 milliseconds
49      -290.0f0      -18.616072f0  115.0f0       50.0f0        1 second892 milliseconds
50      -150.0f0      -10.982142f0  150.0f0       50.0f0        1 second887 milliseconds
51      -185.0f0      -0.35714287f0 190.0f0       50.0f0        1 second890 milliseconds
52      -160.0f0      -9.776786f0   125.0f0       50.0f0        1 second907 milliseconds
53      -150.0f0      -9.151786f0   125.0f0       50.0f0        1 second891 milliseconds
54      -210.0f0      -21.026785f0  75.0f0        50.0f0        1 second896 milliseconds
55      -160.0f0      -6.607143f0   150.0f0       50.0f0        1 second897 milliseconds
