number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: true
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 50
	differential_equation: separated
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	set_principle_diagonal_elements_of_W_negative: true
	alpha: 0.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 112
Free Parameters: 3100
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
1       -485.0f0      -66.16071f0   180.0f0       10.0f0        7 seconds315 milliseconds
2       -425.0f0      -61.473213f0  225.0f0       10.0f0        1 second980 milliseconds
3       -295.0f0      -44.86607f0   210.0f0       10.0f0        1 second892 milliseconds
4       -410.0f0      -69.91071f0   240.0f0       10.0f0        1 second887 milliseconds
5       -430.0f0      -50.044643f0  180.0f0       14.0f0        1 second870 milliseconds
6       -360.0f0      -67.1875f0    175.0f0       14.0f0        1 second891 milliseconds
7       -320.0f0      -55.17857f0   165.0f0       14.0f0        1 second922 milliseconds
8       -340.0f0      -57.94643f0   255.0f0       68.0f0        1 second878 milliseconds
9       -350.0f0      -39.55357f0   260.0f0       68.0f0        1 second897 milliseconds
10      -345.0f0      -37.32143f0   240.0f0       99.0f0        1 second900 milliseconds
11      -370.0f0      -51.294643f0  190.0f0       99.0f0        1 second905 milliseconds
12      -480.0f0      -47.589287f0  335.0f0       99.0f0        1 second893 milliseconds
13      -495.0f0      -66.875f0     205.0f0       99.0f0        1 second902 milliseconds
14      -385.0f0      -44.464287f0  130.0f0       99.0f0        1 second901 milliseconds
15      -485.0f0      -46.42857f0   255.0f0       99.0f0        1 second902 milliseconds
16      -325.0f0      -35.9375f0    180.0f0       99.0f0        1 second910 milliseconds
17      -320.0f0      -59.6875f0    240.0f0       99.0f0        1 second892 milliseconds
18      -350.0f0      -52.32143f0   215.0f0       99.0f0        1 second889 milliseconds
19      -465.0f0      -61.07143f0   145.0f0       99.0f0        1 second909 milliseconds
20      -390.0f0      -39.017857f0  255.0f0       99.0f0        1 second897 milliseconds
21      -260.0f0      -34.50893f0   165.0f0       99.0f0        1 second916 milliseconds
22      -365.0f0      -59.50893f0   180.0f0       99.0f0        1 second893 milliseconds
23      -415.0f0      -50.044643f0  185.0f0       99.0f0        1 second910 milliseconds
24      -445.0f0      -40.17857f0   275.0f0       99.0f0        1 second913 milliseconds
25      -355.0f0      -33.169643f0  255.0f0       99.0f0        1 second907 milliseconds
26      -285.0f0      -36.607143f0  300.0f0       99.0f0        1 second903 milliseconds
27      -345.0f0      -52.544643f0  200.0f0       99.0f0        1 second892 milliseconds
28      -415.0f0      -65.71429f0   215.0f0       99.0f0        1 second905 milliseconds
29      -385.0f0      -50.044643f0  265.0f0       117.0f0       1 second914 milliseconds
30      -395.0f0      -66.96429f0   190.0f0       117.0f0       1 second916 milliseconds
31      -420.0f0      -35.625f0     275.0f0       117.0f0       1 second912 milliseconds
32      -360.0f0      -63.526787f0  265.0f0       117.0f0       1 second932 milliseconds
33      -285.0f0      -28.705357f0  270.0f0       117.0f0       1 second915 milliseconds
34      -435.0f0      -52.767857f0  225.0f0       117.0f0       1 second917 milliseconds
35      -330.0f0      -32.63393f0   225.0f0       117.0f0       1 second926 milliseconds
36      -425.0f0      -39.732143f0  200.0f0       117.0f0       1 second926 milliseconds
37      -365.0f0      -43.92857f0   275.0f0       117.0f0       1 second921 milliseconds
38      -290.0f0      -13.705358f0  250.0f0       117.0f0       1 second925 milliseconds
39      -450.0f0      -24.6875f0    255.0f0       117.0f0       1 second925 milliseconds
40      -260.0f0      -9.464286f0   495.0f0       117.0f0       1 second944 milliseconds
41      -330.0f0      -47.901787f0  365.0f0       136.0f0       1 second929 milliseconds
42      -315.0f0      -19.464285f0  310.0f0       136.0f0       1 second938 milliseconds
43      -405.0f0      -36.38393f0   480.0f0       136.0f0       1 second924 milliseconds
44      -335.0f0      -34.642857f0  215.0f0       136.0f0       1 second930 milliseconds
45      -290.0f0      -34.19643f0   240.0f0       136.0f0       1 second937 milliseconds
46      -500.0f0      -26.741072f0  425.0f0       136.0f0       1 second956 milliseconds
47      -340.0f0      -28.616072f0  190.0f0       136.0f0       1 second938 milliseconds
48      -345.0f0      -43.169643f0  240.0f0       136.0f0       1 second937 milliseconds
49      -420.0f0      -42.32143f0   250.0f0       136.0f0       1 second927 milliseconds
50      -500.0f0      -40.75893f0   330.0f0       136.0f0       1 second948 milliseconds
51      -630.0f0      -44.151787f0  300.0f0       136.0f0       1 second950 milliseconds
