number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: true
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 50
	differential_equation: separated
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	set_principle_diagonal_elements_of_W_negative: true
	alpha: 0.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 112
Free Parameters: 3100
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
52      -380.0f0      -37.857143f0  255.0f0       136.0f0       1 second944 milliseconds
53      -440.0f0      -8.258928f0   390.0f0       136.0f0       1 second955 milliseconds
54      -370.0f0      -8.526786f0   470.0f0       136.0f0       1 second961 milliseconds
55      -395.0f0      -30.535715f0  215.0f0       136.0f0       1 second952 milliseconds
56      -530.0f0      -35.0f0       340.0f0       136.0f0       1 second947 milliseconds
57      -390.0f0      -20.133928f0  365.0f0       136.0f0       1 second966 milliseconds
58      -550.0f0      -31.026785f0  200.0f0       136.0f0       1 second956 milliseconds
59      -285.0f0      -8.125f0      370.0f0       136.0f0       1 second950 milliseconds
60      -405.0f0      -16.205357f0  275.0f0       136.0f0       1 second953 milliseconds
61      -435.0f0      -1.4285715f0  290.0f0       136.0f0       1 second988 milliseconds
62      -405.0f0      -13.794642f0  230.0f0       136.0f0       1 second968 milliseconds
63      -490.0f0      -6.160714f0   260.0f0       136.0f0       1 second954 milliseconds
64      -380.0f0      -0.53571427f0 335.0f0       136.0f0       1 second955 milliseconds
65      -340.0f0      -23.571428f0  220.0f0       136.0f0       1 second953 milliseconds
66      -350.0f0      -9.107142f0   255.0f0       136.0f0       1 second947 milliseconds
67      -305.0f0      -8.392858f0   225.0f0       136.0f0       1 second959 milliseconds
68      -395.0f0      -23.169643f0  230.0f0       136.0f0       1 second962 milliseconds
69      -465.0f0      -9.017858f0   275.0f0       136.0f0       1 second950 milliseconds
70      -375.0f0      -11.651786f0  340.0f0       136.0f0       1 second953 milliseconds
71      -300.0f0      -4.910714f0   295.0f0       136.0f0       1 second943 milliseconds
72      -505.0f0      -11.428572f0  420.0f0       136.0f0       1 second957 milliseconds
73      -570.0f0      -12.723214f0  275.0f0       136.0f0       1 second960 milliseconds
74      -425.0f0      -17.589285f0  275.0f0       136.0f0       1 second952 milliseconds
75      -315.0f0      -0.53571427f0 370.0f0       136.0f0       1 second958 milliseconds
76      -360.0f0      -12.857142f0  275.0f0       136.0f0       1 second964 milliseconds
77      -365.0f0      10.089286f0   310.0f0       136.0f0       1 second970 milliseconds
78      -265.0f0      -26.339285f0  460.0f0       136.0f0       1 second951 milliseconds
79      -330.0f0      -26.25f0      395.0f0       136.0f0       1 second966 milliseconds
80      -300.0f0      9.0625f0      360.0f0       136.0f0       1 second953 milliseconds
81      -320.0f0      9.419642f0    520.0f0       182.0f0       1 second968 milliseconds
82      -290.0f0      14.866072f0   385.0f0       182.0f0       1 second956 milliseconds
83      -215.0f0      11.205358f0   340.0f0       182.0f0       1 second950 milliseconds
84      -225.0f0      40.3125f0     435.0f0       182.0f0       1 second953 milliseconds
85      -245.0f0      30.982143f0   345.0f0       182.0f0       1 second962 milliseconds
86      -380.0f0      27.589285f0   385.0f0       182.0f0       1 second958 milliseconds
87      -240.0f0      39.419643f0   400.0f0       206.0f0       1 second947 milliseconds
88      -320.0f0      30.714285f0   310.0f0       206.0f0       1 second957 milliseconds
89      -225.0f0      45.625f0      490.0f0       206.0f0       1 second956 milliseconds
90      -325.0f0      39.24107f0    435.0f0       206.0f0       1 second973 milliseconds
91      -315.0f0      68.48214f0    345.0f0       206.0f0       1 second951 milliseconds
92      -440.0f0      48.080357f0   345.0f0       206.0f0       1 second964 milliseconds
93      -320.0f0      44.86607f0    420.0f0       206.0f0       1 second954 milliseconds
94      -280.0f0      51.339287f0   395.0f0       206.0f0       1 second959 milliseconds
95      -310.0f0      53.30357f0    415.0f0       394.0f0       1 second951 milliseconds
96      -345.0f0      72.36607f0    385.0f0       394.0f0       1 second953 milliseconds
97      -240.0f0      47.5f0        505.0f0       394.0f0       1 second952 milliseconds
98      -275.0f0      72.90179f0    390.0f0       394.0f0       1 second958 milliseconds
99      -215.0f0      61.651787f0   545.0f0       394.0f0       1 second963 milliseconds
100     -255.0f0      73.48214f0    435.0f0       394.0f0       1 second964 milliseconds
101     -305.0f0      82.00893f0    400.0f0       394.0f0       1 second955 milliseconds
102     -330.0f0      34.19643f0    485.0f0       394.0f0       1 second958 milliseconds
103     -280.0f0      58.88393f0    445.0f0       394.0f0       1 second968 milliseconds
104     -320.0f0      51.38393f0    370.0f0       394.0f0       1 second954 milliseconds
105     -365.0f0      58.30357f0    440.0f0       394.0f0       1 second952 milliseconds
106     -335.0f0      71.51786f0    515.0f0       394.0f0       1 second953 milliseconds
107     -355.0f0      81.11607f0    445.0f0       394.0f0       1 second984 milliseconds
108     -250.0f0      68.83929f0    420.0f0       394.0f0       1 second943 milliseconds
109     -305.0f0      78.48214f0    535.0f0       394.0f0       1 second967 milliseconds
110     -305.0f0      91.20536f0    460.0f0       394.0f0       1 second971 milliseconds
111     -265.0f0      68.61607f0    665.0f0       394.0f0       1 second975 milliseconds
112     -335.0f0      87.90179f0    560.0f0       394.0f0       1 second953 milliseconds
113     -380.0f0      71.29464f0    500.0f0       394.0f0       1 second955 milliseconds
114     -310.0f0      87.67857f0    525.0f0       394.0f0       1 second964 milliseconds
115     -390.0f0      81.69643f0    495.0f0       394.0f0       1 second970 milliseconds
116     -375.0f0      63.839287f0   390.0f0       394.0f0       1 second953 milliseconds
117     -320.0f0      81.96429f0    465.0f0       394.0f0       1 second954 milliseconds
118     -330.0f0      85.49107f0    425.0f0       394.0f0       1 second956 milliseconds
119     -235.0f0      109.86607f0   505.0f0       394.0f0       1 second956 milliseconds
120     -525.0f0      103.79464f0   510.0f0       394.0f0       1 second953 milliseconds
121     -285.0f0      129.77678f0   525.0f0       394.0f0       1 second950 milliseconds
122     -440.0f0      90.0f0        495.0f0       394.0f0       1 second947 milliseconds
123     -220.0f0      119.28571f0   575.0f0       394.0f0       1 second968 milliseconds
124     -225.0f0      129.86607f0   555.0f0       394.0f0       1 second962 milliseconds
125     -520.0f0      101.07143f0   585.0f0       394.0f0       1 second955 milliseconds
126     -355.0f0      140.75893f0   575.0f0       394.0f0       1 second961 milliseconds
127     -315.0f0      126.65179f0   545.0f0       394.0f0       1 second956 milliseconds
128     -265.0f0      121.74107f0   755.0f0       394.0f0       1 second953 milliseconds
129     -340.0f0      117.67857f0   540.0f0       394.0f0       1 second959 milliseconds
130     -245.0f0      129.375f0     640.0f0       394.0f0       1 second963 milliseconds
131     -285.0f0      120.98214f0   595.0f0       394.0f0       1 second959 milliseconds
132     -220.0f0      126.91964f0   475.0f0       394.0f0       1 second958 milliseconds
133     -290.0f0      129.50893f0   460.0f0       394.0f0       1 second953 milliseconds
134     -280.0f0      150.71428f0   475.0f0       394.0f0       1 second958 milliseconds
135     -175.0f0      158.88393f0   635.0f0       394.0f0       1 second956 milliseconds
136     -200.0f0      154.33035f0   585.0f0       394.0f0       1 second959 milliseconds
137     -245.0f0      137.94643f0   605.0f0       394.0f0       1 second957 milliseconds
138     -510.0f0      115.66964f0   485.0f0       394.0f0       1 second968 milliseconds
139     -205.0f0      151.33928f0   620.0f0       394.0f0       1 second948 milliseconds
140     -260.0f0      177.23215f0   630.0f0       451.0f0       1 second962 milliseconds
141     -245.0f0      165.9375f0    590.0f0       451.0f0       1 second956 milliseconds
142     -295.0f0      163.70535f0   645.0f0       451.0f0       1 second947 milliseconds
143     -210.0f0      175.26785f0   850.0f0       451.0f0       1 second969 milliseconds
144     -295.0f0      145.625f0     420.0f0       451.0f0       1 second958 milliseconds
145     -165.0f0      204.95535f0   810.0f0       451.0f0       1 second961 milliseconds
146     -260.0f0      138.34822f0   545.0f0       451.0f0       1 second961 milliseconds
147     -285.0f0      165.26785f0   880.0f0       451.0f0       1 second960 milliseconds
148     -470.0f0      176.60715f0   615.0f0       451.0f0       1 second957 milliseconds
149     -305.0f0      173.79465f0   570.0f0       451.0f0       1 second965 milliseconds
150     -260.0f0      182.41072f0   600.0f0       451.0f0       1 second958 milliseconds
151     -145.0f0      205.625f0     970.0f0       451.0f0       1 second945 milliseconds
152     -135.0f0      203.57143f0   635.0f0       451.0f0       1 second955 milliseconds
153     -220.0f0      195.0f0       640.0f0       451.0f0       1 second972 milliseconds
154     -320.0f0      201.02678f0   655.0f0       451.0f0       1 second958 milliseconds
155     -335.0f0      217.00893f0   605.0f0       451.0f0       1 second954 milliseconds
156     -290.0f0      184.82143f0   600.0f0       451.0f0       1 second939 milliseconds
157     -535.0f0      185.58035f0   630.0f0       451.0f0       1 second953 milliseconds
158     -215.0f0      222.41072f0   715.0f0       455.0f0       1 second961 milliseconds
159     -110.0f0      215.44643f0   705.0f0       455.0f0       1 second954 milliseconds
160     -270.0f0      225.17857f0   835.0f0       455.0f0       1 second982 milliseconds
161     -160.0f0      182.8125f0    585.0f0       455.0f0       1 second986 milliseconds
162     -295.0f0      202.72322f0   705.0f0       455.0f0       1 second956 milliseconds
163     -380.0f0      216.33928f0   770.0f0       455.0f0       1 second961 milliseconds
164     -200.0f0      218.61607f0   665.0f0       455.0f0       1 second961 milliseconds
165     -315.0f0      209.86607f0   655.0f0       455.0f0       1 second957 milliseconds
166     -185.0f0      250.89285f0   955.0f0       455.0f0       1 second958 milliseconds
167     -145.0f0      196.78572f0   590.0f0       455.0f0       1 second951 milliseconds
168     -140.0f0      222.94643f0   510.0f0       455.0f0       1 second973 milliseconds
169     -95.0f0       245.9375f0    875.0f0       455.0f0       1 second953 milliseconds
170     -125.0f0      225.66965f0   685.0f0       507.0f0       1 second962 milliseconds
171     -335.0f0      221.65178f0   695.0f0       507.0f0       1 second962 milliseconds
172     -225.0f0      233.75f0      710.0f0       507.0f0       1 second946 milliseconds
173     -165.0f0      245.66965f0   685.0f0       507.0f0       1 second950 milliseconds
174     -265.0f0      231.25f0      725.0f0       507.0f0       1 second957 milliseconds
175     -190.0f0      258.0357f0    685.0f0       507.0f0       1 second961 milliseconds
176     -265.0f0      241.60715f0   745.0f0       507.0f0       1 second948 milliseconds
177     -240.0f0      202.63393f0   740.0f0       507.0f0       1 second972 milliseconds
178     -100.0f0      254.15178f0   735.0f0       507.0f0       1 second996 milliseconds
179     -225.0f0      217.45535f0   650.0f0       507.0f0       1 second962 milliseconds
180     -180.0f0      253.97322f0   940.0f0       507.0f0       1 second959 milliseconds
181     -140.0f0      249.41965f0   915.0f0       507.0f0       1 second955 milliseconds
182     -90.0f0       236.42857f0   630.0f0       507.0f0       1 second965 milliseconds
183     -485.0f0      249.24107f0   690.0f0       507.0f0       1 second954 milliseconds
184     -100.0f0      268.75f0      795.0f0       507.0f0       1 second964 milliseconds
185     -75.0f0       212.05357f0   695.0f0       507.0f0       1 second950 milliseconds
186     -195.0f0      236.33928f0   700.0f0       507.0f0       1 second956 milliseconds
187     -215.0f0      245.53572f0   755.0f0       507.0f0       1 second970 milliseconds
188     -340.0f0      253.125f0     600.0f0       507.0f0       1 second965 milliseconds
189     -215.0f0      209.28572f0   690.0f0       507.0f0       1 second947 milliseconds
190     -100.0f0      235.13393f0   560.0f0       507.0f0       1 second944 milliseconds
191     -195.0f0      238.66072f0   765.0f0       507.0f0       1 second952 milliseconds
192     -150.0f0      218.08035f0   550.0f0       507.0f0       1 second966 milliseconds
193     -270.0f0      227.99107f0   740.0f0       507.0f0       1 second954 milliseconds
194     -275.0f0      221.16072f0   600.0f0       507.0f0       1 second960 milliseconds
195     -155.0f0      230.80357f0   705.0f0       507.0f0       1 second966 milliseconds
196     -290.0f0      207.41072f0   815.0f0       507.0f0       1 second976 milliseconds
197     -230.0f0      230.3125f0    715.0f0       507.0f0       1 second947 milliseconds
198     -260.0f0      203.16965f0   775.0f0       507.0f0       1 second952 milliseconds
199     -130.0f0      220.75893f0   695.0f0       507.0f0       1 second965 milliseconds
200     -140.0f0      215.13393f0   650.0f0       507.0f0       1 second963 milliseconds
201     -325.0f0      261.60715f0   730.0f0       507.0f0       1 second965 milliseconds
202     -125.0f0      257.54465f0   735.0f0       507.0f0       1 second947 milliseconds
203     -330.0f0      265.98215f0   800.0f0       507.0f0       1 second968 milliseconds
204     -170.0f0      270.98215f0   755.0f0       507.0f0       1 second961 milliseconds
205     -155.0f0      252.00893f0   850.0f0       507.0f0       1 second959 milliseconds
206     -265.0f0      271.11606f0   645.0f0       507.0f0       1 second954 milliseconds
207     -295.0f0      259.4643f0    920.0f0       507.0f0       1 second944 milliseconds
208     -90.0f0       274.19644f0   835.0f0       507.0f0       1 second959 milliseconds
209     -170.0f0      255.04465f0   735.0f0       507.0f0       1 second973 milliseconds
210     -190.0f0      246.38393f0   695.0f0       507.0f0       1 second957 milliseconds
211     -175.0f0      260.26785f0   710.0f0       507.0f0       1 second956 milliseconds
212     -155.0f0      279.33035f0   770.0f0       507.0f0       1 second987 milliseconds
213     -145.0f0      287.32144f0   1120.0f0      507.0f0       1 second964 milliseconds
214     -155.0f0      300.7143f0    730.0f0       507.0f0       1 second953 milliseconds
215     -200.0f0      273.25894f0   740.0f0       507.0f0       1 second951 milliseconds
216     -240.0f0      262.32144f0   715.0f0       507.0f0       1 second958 milliseconds
217     -85.0f0       274.6875f0    750.0f0       507.0f0       1 second980 milliseconds
218     -170.0f0      263.2143f0    805.0f0       507.0f0       1 second956 milliseconds
219     -235.0f0      223.79465f0   665.0f0       507.0f0       1 second941 milliseconds
220     -210.0f0      259.0625f0    705.0f0       507.0f0       1 second955 milliseconds
221     -185.0f0      250.26785f0   710.0f0       507.0f0       1 second960 milliseconds
222     -215.0f0      237.36607f0   710.0f0       507.0f0       1 second952 milliseconds
223     -250.0f0      256.11606f0   890.0f0       507.0f0       1 second961 milliseconds
224     -235.0f0      245.53572f0   730.0f0       507.0f0       1 second945 milliseconds
225     -95.0f0       248.92857f0   670.0f0       507.0f0       1 second952 milliseconds
226     -120.0f0      279.6875f0    730.0f0       507.0f0       1 second961 milliseconds
227     -170.0f0      258.2143f0    640.0f0       507.0f0       1 second973 milliseconds
228     -255.0f0      271.74106f0   900.0f0       507.0f0       1 second958 milliseconds
229     -100.0f0      275.26785f0   865.0f0       507.0f0       1 second955 milliseconds
230     -200.0f0      298.8393f0    755.0f0       507.0f0       1 second965 milliseconds
231     -285.0f0      272.54465f0   1260.0f0      516.0f0       1 second947 milliseconds
232     -205.0f0      278.2143f0    710.0f0       516.0f0       1 second958 milliseconds
233     -155.0f0      270.04465f0   760.0f0       516.0f0       1 second964 milliseconds
234     -145.0f0      267.99106f0   795.0f0       516.0f0       1 second952 milliseconds
235     -210.0f0      266.83035f0   790.0f0       516.0f0       1 second947 milliseconds
236     -260.0f0      244.46428f0   695.0f0       516.0f0       1 second956 milliseconds
237     -195.0f0      262.14285f0   740.0f0       516.0f0       1 second955 milliseconds
238     -195.0f0      278.75f0      635.0f0       516.0f0       1 second967 milliseconds
239     -80.0f0       291.91965f0   730.0f0       516.0f0       1 second958 milliseconds
240     -105.0f0      304.64285f0   710.0f0       516.0f0       1 second958 milliseconds
241     -75.0f0       286.91965f0   710.0f0       516.0f0       1 second966 milliseconds
242     -170.0f0      276.25f0      770.0f0       516.0f0       1 second956 milliseconds
243     0.0f0         290.13394f0   725.0f0       516.0f0       1 second946 milliseconds
244     -125.0f0      283.9732f0    745.0f0       516.0f0       1 second974 milliseconds
245     -95.0f0       249.64285f0   675.0f0       516.0f0       1 second956 milliseconds
246     -165.0f0      268.125f0     660.0f0       516.0f0       1 second954 milliseconds
247     -130.0f0      303.39285f0   725.0f0       516.0f0       1 second956 milliseconds
248     -85.0f0       278.08035f0   725.0f0       516.0f0       1 second941 milliseconds
249     -100.0f0      285.17856f0   720.0f0       516.0f0       1 second954 milliseconds
250     -145.0f0      293.125f0     1040.0f0      516.0f0       1 second969 milliseconds
251     -115.0f0      276.74106f0   735.0f0       516.0f0       1 second958 milliseconds
252     -145.0f0      318.0357f0    830.0f0       516.0f0       1 second953 milliseconds
253     -260.0f0      296.4732f0    840.0f0       516.0f0       1 second963 milliseconds
254     -295.0f0      302.54465f0   930.0f0       516.0f0       1 second956 milliseconds
255     -180.0f0      290.2232f0    790.0f0       516.0f0       1 second952 milliseconds
256     -250.0f0      301.5625f0    845.0f0       516.0f0       1 second965 milliseconds
257     -145.0f0      319.50894f0   860.0f0       516.0f0       1 second970 milliseconds
258     -190.0f0      297.00894f0   670.0f0       516.0f0       1 second958 milliseconds
259     -150.0f0      334.9107f0    745.0f0       516.0f0       1 second962 milliseconds
260     -95.0f0       320.26785f0   850.0f0       516.0f0       1 second960 milliseconds
261     -115.0f0      323.75f0      730.0f0       516.0f0       1 second952 milliseconds
262     -60.0f0       328.9732f0    800.0f0       516.0f0       1 second962 milliseconds
263     -145.0f0      344.1518f0    765.0f0       516.0f0       1 second956 milliseconds
264     -310.0f0      335.89285f0   1095.0f0      516.0f0       1 second962 milliseconds
265     -130.0f0      317.94644f0   800.0f0       516.0f0       1 second954 milliseconds
266     -105.0f0      299.33035f0   705.0f0       516.0f0       1 second956 milliseconds
267     -75.0f0       290.17856f0   690.0f0       516.0f0       1 second953 milliseconds
268     -155.0f0      325.3125f0    925.0f0       516.0f0       1 second956 milliseconds
269     -245.0f0      305.89285f0   780.0f0       516.0f0       1 second970 milliseconds
270     -165.0f0      317.94644f0   925.0f0       516.0f0       1 second962 milliseconds
271     -90.0f0       328.25894f0   805.0f0       516.0f0       1 second964 milliseconds
272     -135.0f0      324.33035f0   1055.0f0      516.0f0       1 second948 milliseconds
273     -70.0f0       294.0625f0    755.0f0       516.0f0       1 second954 milliseconds
274     -75.0f0       301.07144f0   1005.0f0      516.0f0       1 second961 milliseconds
275     -105.0f0      306.07144f0   800.0f0       516.0f0       1 second963 milliseconds
276     -275.0f0      332.0982f0    850.0f0       516.0f0       1 second958 milliseconds
277     -90.0f0       310.5357f0    770.0f0       516.0f0       1 second959 milliseconds
278     -155.0f0      338.30356f0   875.0f0       516.0f0       1 second959 milliseconds
279     -255.0f0      307.99106f0   840.0f0       516.0f0       1 second947 milliseconds
280     -70.0f0       310.89285f0   705.0f0       516.0f0       1 second955 milliseconds
281     -340.0f0      317.2768f0    800.0f0       542.0f0       1 second957 milliseconds
282     -20.0f0       314.24106f0   935.0f0       542.0f0       1 second958 milliseconds
283     -65.0f0       347.2768f0    915.0f0       542.0f0       1 second951 milliseconds
284     -145.0f0      322.67856f0   790.0f0       542.0f0       1 second950 milliseconds
285     -175.0f0      328.25894f0   765.0f0       542.0f0       1 second955 milliseconds
286     -150.0f0      302.54465f0   745.0f0       582.0f0       1 second968 milliseconds
287     -180.0f0      343.08035f0   840.0f0       582.0f0       1 second963 milliseconds
288     -95.0f0       351.91965f0   915.0f0       582.0f0       1 second952 milliseconds
289     -130.0f0      366.4732f0    910.0f0       582.0f0       1 second956 milliseconds
290     -110.0f0      331.11606f0   835.0f0       582.0f0       1 second965 milliseconds
291     -70.0f0       313.92856f0   820.0f0       582.0f0       1 second950 milliseconds
292     -105.0f0      342.2768f0    915.0f0       582.0f0       1 second956 milliseconds
293     -245.0f0      370.49106f0   780.0f0       582.0f0       1 second966 milliseconds
294     -80.0f0       353.2143f0    815.0f0       582.0f0       1 second955 milliseconds
295     -130.0f0      335.0f0       730.0f0       582.0f0       1 second967 milliseconds
296     -175.0f0      385.66965f0   1010.0f0      582.0f0       1 second940 milliseconds
297     -95.0f0       352.5f0       860.0f0       582.0f0       1 second971 milliseconds
298     0.0f0         340.49106f0   810.0f0       582.0f0       1 second966 milliseconds
299     -165.0f0      366.875f0     835.0f0       582.0f0       1 second974 milliseconds
300     -55.0f0       334.82144f0   760.0f0       582.0f0       1 second955 milliseconds
301     -315.0f0      339.64285f0   915.0f0       582.0f0       1 second957 milliseconds
302     -185.0f0      342.32144f0   845.0f0       582.0f0       1 second964 milliseconds
303     -140.0f0      361.42856f0   835.0f0       582.0f0       1 second950 milliseconds
304     -35.0f0       333.2143f0    835.0f0       582.0f0       1 second953 milliseconds
305     -125.0f0      344.24106f0   925.0f0       582.0f0       1 second959 milliseconds
306     -45.0f0       366.51785f0   950.0f0       582.0f0       1 second962 milliseconds
307     -195.0f0      354.73215f0   900.0f0       582.0f0       1 second950 milliseconds
308     -100.0f0      332.0982f0    1020.0f0      582.0f0       1 second961 milliseconds
309     -45.0f0       348.39285f0   920.0f0       582.0f0       1 second964 milliseconds
310     -120.0f0      320.0f0       900.0f0       582.0f0       2 seconds15 milliseconds
311     -65.0f0       328.48215f0   830.0f0       582.0f0       1 second953 milliseconds
312     -140.0f0      339.50894f0   1215.0f0      582.0f0       1 second963 milliseconds
313     -215.0f0      325.80356f0   840.0f0       582.0f0       1 second958 milliseconds
314     -125.0f0      339.24106f0   810.0f0       582.0f0       1 second969 milliseconds
315     -40.0f0       348.4375f0    770.0f0       582.0f0       1 second959 milliseconds
316     -160.0f0      312.94644f0   1095.0f0      582.0f0       1 second955 milliseconds
317     -265.0f0      346.11606f0   785.0f0       582.0f0       1 second955 milliseconds
318     -120.0f0      330.4018f0    890.0f0       582.0f0       1 second956 milliseconds
319     -180.0f0      355.5357f0    885.0f0       582.0f0       1 second948 milliseconds
320     -80.0f0       340.17856f0   800.0f0       582.0f0       1 second958 milliseconds
321     5.0f0         379.82144f0   1090.0f0      582.0f0       1 second957 milliseconds
322     -35.0f0       336.74106f0   755.0f0       582.0f0       1 second976 milliseconds
323     -155.0f0      353.3482f0    810.0f0       582.0f0       1 second952 milliseconds
324     -95.0f0       353.125f0     840.0f0       582.0f0       1 second961 milliseconds
325     -10.0f0       334.73215f0   875.0f0       582.0f0       1 second954 milliseconds
326     -40.0f0       364.5982f0    855.0f0       633.0f0       1 second955 milliseconds
327     -80.0f0       339.64285f0   920.0f0       633.0f0       1 second953 milliseconds
328     -60.0f0       334.4643f0    940.0f0       633.0f0       1 second966 milliseconds
329     -190.0f0      334.01785f0   880.0f0       633.0f0       1 second954 milliseconds
330     -105.0f0      369.4643f0    905.0f0       633.0f0       1 second962 milliseconds
331     -195.0f0      372.45535f0   770.0f0       633.0f0       1 second950 milliseconds
332     -115.0f0      373.57144f0   880.0f0       633.0f0       1 second947 milliseconds
333     -105.0f0      376.7857f0    895.0f0       633.0f0       1 second975 milliseconds
334     -70.0f0       395.13394f0   970.0f0       633.0f0       1 second969 milliseconds
335     -85.0f0       373.4375f0    935.0f0       633.0f0       1 second954 milliseconds
336     -10.0f0       403.25894f0   930.0f0       633.0f0       1 second956 milliseconds
